,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
1892,..\experiments\509,256,FALSE,FALSE,0,FALSE,0.5,128,509,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963579264,0.957099542,0.970221485,413.8,0.916360031,0.930421001,0.903055942,186.2,0.949333333,0.939969647,0.943760272,0.936638714,600,0.949121817,0.949260003,0.949333333,600,2,16,2,128,3
261,..\experiments\1232,256,FALSE,FALSE,0,FALSE,0.5,128,1232,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963086385,0.963193251,0.963218042,413.8,0.917285287,0.91685851,0.918774397,186.2,0.949,0.940185836,0.94002588,0.94099622,600,0.94908538,0.949665895,0.949,600,1,256,5,128,1
126,..\experiments\1110,256,FALSE,FALSE,0,FALSE,0.5,128,1110,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962369976,0.974190517,0.951022342,413.8,0.918996374,0.895535157,0.944657663,186.2,0.948666667,0.940683175,0.934862837,0.947840002,600,0.949077818,0.950474295,0.948666667,600,2,64,3,256,5
2012,..\experiments\617,256,FALSE,FALSE,0,FALSE,0.5,128,617,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963012661,0.962727605,0.963356384,413.8,0.917431707,0.917724285,0.917424455,186.2,0.949,0.940222184,0.940225945,0.940390419,600,0.949003899,0.949134573,0.949,600,2,16,3,128,3
1119,..\experiments\2004,256,FALSE,FALSE,0,FALSE,0.5,256,2004,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.963675384,0.955097056,0.972491729,413.8,0.915721154,0.935629527,0.897105016,186.2,0.949333333,0.939698269,0.945363292,0.934798373,600,0.948994511,0.949214376,0.949333333,600,1,128,2,64,2
285,..\experiments\1254,256,FALSE,FALSE,0,FALSE,0.5,128,1254,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963047624,0.962105217,0.964422781,413.8,0.9172423,0.92120803,0.915232626,186.2,0.949,0.940144962,0.941656624,0.939827704,600,0.94899181,0.949878158,0.949,600,3,64,5,128,5
290,..\experiments\1259,256,FALSE,FALSE,0,FALSE,0.5,128,1259,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963145396,0.96197675,0.964422962,413.8,0.916741129,0.919505939,0.914490421,186.2,0.949,0.939943263,0.940741344,0.939456692,600,0.948981562,0.949196903,0.949,600,1,256,5,256,1
245,..\experiments\1218,256,FALSE,FALSE,0,FALSE,0.5,128,1218,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962495405,0.972174545,0.953235137,413.8,0.918171549,0.90018174,0.938000413,186.2,0.948666667,0.940333477,0.936178143,0.945617775,600,0.948978989,0.950133841,0.948666667,600,2,64,5,64,5
46,..\experiments\1039,256,FALSE,FALSE,0,FALSE,0.5,128,1039,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962557604,0.96932533,0.956369026,413.8,0.918015084,0.905927893,0.932695039,186.2,0.948666667,0.940286344,0.937626612,0.944532033,600,0.948926323,0.950366038,0.948666667,600,3,128,2,256,5
298,..\experiments\1266,256,FALSE,FALSE,0,FALSE,0.5,128,1266,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.96194381,0.979462589,0.945176815,413.8,0.919244837,0.885973618,0.955844656,186.2,0.948333333,0.940594323,0.932718103,0.950510735,600,0.948909807,0.951006896,0.948333333,600,2,64,5,256,1
